order_id,order_date,customer_id,product_id,category,region,channel,quantity,unit_price,revenue,cost,discount
ORD-000001,2025-08-02,CUST-0332,SKU-044,Electronics,South,Partner,1,128.68,154.4,85.32,4.2
ORD-000002,2024-09-17,CUST-0629,SKU-001,Sports,East,Online,3,174.56,494.88,333.03,17.95
ORD-000003,2024-11-15,CUST-0465,SKU-024,Home & Kitchen,South,Retail,9,121.3,1147.26,749.25,67.82
ORD-000004,2025-06-16,CUST-0232,SKU-038,Sports,South,Partner,5,79.81,577.97,332.05,79.85
ORD-000005,2024-08-01,CUST-0174,SKU-045,Beauty,West,Online,10,90.81,973.81,539.68,138.82
ORD-000006,2025-02-14,CUST-0647,SKU-059,Electronics,South,Partner,8,94.76,1166.74,691.11,6.9
ORD-000007,2025-04-13,CUST-0530,SKU-049,Beauty,South,Partner,5,163.82,1359.46,943.38,8.54
ORD-000008,2023-08-14,CUST-0205,SKU-010,Apparel,North,Retail,10,149.46,1351.85,914.12,150.82
ORD-000009,2023-02-25,CUST-0525,SKU-029,Home & Kitchen,North,Online,8,108.08,1065.14,759.25,99.36
ORD-000010,2023-10-28,CUST-0860,SKU-029,Beauty,North,Retail,9,98.83,774.06,427.31,103.69
ORD-000011,2023-10-13,CUST-0680,SKU-036,Home & Kitchen,South,Online,1,107.37,90.37,57.15,10.17
ORD-000012,2025-05-23,CUST-0573,SKU-008,Home & Kitchen,North,Retail,11,158.59,2723.64,1593.34,356.52
ORD-000013,2025-07-01,CUST-0480,SKU-051,Electronics,North,Partner,6,213.21,1749.69,1285.22,60.32
ORD-000014,2023-01-06,CUST-0140,SKU-039,Home & Kitchen,North,Retail,6,111.04,684.78,383.37,86.2
ORD-000015,2024-05-14,CUST-0530,SKU-049,Electronics,North,Online,8,59.44,674.47,517.51,29.12
ORD-000016,2025-04-01,CUST-0497,SKU-046,Apparel,North,Retail,6,50.27,500.84,376.33,45.27
ORD-000017,2023-05-12,CUST-0607,SKU-010,Apparel,West,Partner,3,58.5,219.97,123.22,24.49
ORD-000018,2025-03-08,CUST-0769,SKU-047,Beauty,South,Retail,6,214.73,2087.42,1470.46,14.36
ORD-000019,2023-04-30,CUST-0831,SKU-055,Home & Kitchen,South,Partner,11,50.09,704.21,547.82,45.79
ORD-000020,2024-04-12,CUST-0148,SKU-049,Home & Kitchen,South,Retail,11,79.11,1285.69,769.47,70.64
ORD-000021,2025-03-27,CUST-0731,SKU-009,Electronics,North,Online,3,101.88,506.34,404.37,35.45
ORD-000022,2023-10-31,CUST-0780,SKU-002,Apparel,North,Online,5,63.33,278.04,209.95,14.41
ORD-000023,2023-12-08,CUST-0365,SKU-041,Sports,West,Retail,5,102.87,528.15,419.94,42.2
ORD-000024,2023-10-06,CUST-0792,SKU-017,Electronics,West,Partner,1,17.5,14.6,9.58,0.28
ORD-000025,2024-12-20,CUST-0865,SKU-031,Beauty,South,Partner,2,120.72,297.57,199.9,39.74
ORD-000026,2023-09-12,CUST-0101,SKU-006,Apparel,North,Retail,5,112.28,471.81,352.96,9.72
ORD-000027,2025-09-17,CUST-0273,SKU-021,Apparel,,Partner,7,155.51,1150.33,709.41,50.94
ORD-000028,2024-03-21,CUST-0766,SKU-027,Apparel,South,Online,8,218.53,2566.29,1471.52,189.19
ORD-000029,2024-04-23,CUST-0366,SKU-022,Apparel,South,Online,6,32.79,288.51,167.11,22.42
ORD-000030,2024-05-19,CUST-0021,SKU-010,Apparel,East,Online,10,223.77,3137.9,1966.42,84.55
ORD-000031,2024-08-05,CUST-0315,SKU-057,Apparel,East,Partner,5,155.06,818.69,523.54,6.89
ORD-000032,2024-07-07,CUST-0558,SKU-026,Home & Kitchen,West,Online,11,68.25,891.22,643.29,125.46
ORD-000033,2024-05-24,CUST-0240,SKU-056,Electronics,North,Partner,1,166.67,230.78,142.47,11.06
ORD-000034,2025-09-22,CUST-0518,SKU-010,Electronics,East,Partner,8,113.92,959.17,584.77,53.22
ORD-000035,2025-03-18,CUST-0723,SKU-060,Apparel,South,Online,11,58.34,1054.76,648.74,98.48
ORD-000036,2025-03-03,CUST-0859,SKU-004,Electronics,West,Online,9,77.75,1123.2,733.02,67.94
ORD-000037,2024-12-01,CUST-0655,SKU-043,Apparel,East,Partner,6,47.45,320.8,213.56,27.47
ORD-000038,2024-09-14,CUST-0537,SKU-004,Apparel,East,Retail,9,136.85,1167.61,784.85,129.46
ORD-000039,2023-12-08,CUST-0573,SKU-049,Sports,West,Online,9,86.25,797.08,569.31,15.2
ORD-000040,2025-09-15,CUST-0409,SKU-040,Electronics,East,Retail,9,178.78,1704.18,1075.58,169.57
ORD-000041,2024-04-11,CUST-0273,SKU-021,Apparel,West,Retail,11,87.71,1425.93,1138.27,202.41
ORD-000042,2023-08-04,CUST-0172,SKU-053,Sports,West,Retail,7,84.59,555.4,399.76,19.2
ORD-000043,2025-04-25,CUST-0605,SKU-036,Apparel,North,Retail,4,57.81,380.37,263.43,49.98
ORD-000044,2023-06-10,CUST-0647,SKU-030,Sports,East,Online,11,208.53,2661.34,2019.59,236.99
ORD-000045,2025-05-07,CUST-0630,SKU-040,Home & Kitchen,North,Online,3,84.73,411.0,280.41,12.76
ORD-000046,2024-09-04,CUST-0780,SKU-052,Electronics,West,Retail,10,172.11,1658.58,1301.75,175.41
ORD-000047,2023-04-25,CUST-0719,SKU-024,Apparel,North,Retail,3,181.67,700.59,465.82,78.91
ORD-000048,2023-02-13,CUST-0305,SKU-058,Sports,North,Retail,1,118.14,140.81,106.88,8.96
ORD-000049,2024-03-20,CUST-0446,SKU-037,Apparel,East,Retail,9,104.77,1382.8,801.16,185.76
ORD-000050,2023-02-05,CUST-0859,SKU-044,Home & Kitchen,South,Online,2,82.76,192.21,151.18,19.39
ORD-000051,2023-05-22,CUST-0692,SKU-044,Beauty,West,Partner,1,98.75,121.06,96.34,13.74
ORD-000052,2024-05-29,CUST-0745,SKU-044,Home & Kitchen,South,Partner,11,126.53,1900.63,1191.36,40.0
ORD-000053,2025-08-28,CUST-0287,SKU-007,Apparel,West,Partner,11,141.06,1703.62,1143.66,136.13
ORD-000054,2024-04-11,CUST-0365,SKU-027,Sports,North,Retail,8,172.74,2042.39,1525.47,250.14
ORD-000055,2025-03-19,CUST-0661,SKU-017,Apparel,North,Partner,8,145.02,1908.96,1151.66,89.49
ORD-000056,2025-07-06,CUST-0200,SKU-005,Electronics,East,Retail,2,101.77,272.82,208.2,3.78
ORD-000057,2025-04-03,CUST-0477,SKU-052,Electronics,East,Partner,7,62.31,724.63,488.86,38.68
ORD-000058,2024-09-21,CUST-0324,SKU-046,Home & Kitchen,West,Online,11,67.52,699.82,513.74,44.84
ORD-000059,2024-03-17,CUST-0750,SKU-036,Beauty,South,Online,6,85.9,753.36,454.72,48.9
ORD-000060,2024-05-29,CUST-0487,SKU-057,Home & Kitchen,East,Partner,1,137.25,187.42,112.17,18.74
ORD-000061,2023-09-24,CUST-0014,SKU-022,Electronics,North,Partner,8,153.81,1023.35,572.81,77.0
ORD-000062,2024-05-11,CUST-0093,SKU-036,Beauty,West,Partner,6,71.83,615.12,437.99,81.81
ORD-000063,2024-01-15,CUST-0200,SKU-001,Apparel,North,Online,8,79.86,782.7,532.62,78.01
ORD-000064,2023-09-05,CUST-0858,SKU-016,Electronics,East,Online,5,33.42,142.14,101.35,2.61
ORD-000065,2025-09-20,CUST-0896,SKU-007,Home & Kitchen,West,Retail,6,32.9,208.03,125.12,16.69
ORD-000066,2023-01-12,CUST-0340,SKU-047,Apparel,East,Retail,4,124.9,527.53,320.83,22.94
ORD-000067,2023-04-08,CUST-0853,SKU-017,Electronics,East,Online,6,285.03,2217.67,1476.37,68.89
ORD-000068,2023-07-12,CUST-0200,SKU-034,Home & Kitchen,West,Retail,3,63.55,196.07,124.33,2.77
ORD-000069,2025-08-27,CUST-0005,SKU-046,Home & Kitchen,South,Partner,4,62.34,274.53,157.5,23.7
ORD-000070,2024-11-23,CUST-0550,SKU-010,Beauty,West,Retail,1,55.37,60.19,45.65,3.55
ORD-000071,2025-05-31,CUST-0893,SKU-022,Electronics,North,Partner,2,97.8,298.66,234.21,12.95
ORD-000072,2023-07-20,CUST-0668,SKU-046,Beauty,South,Online,5,40.38,200.98,159.49,13.63
ORD-000073,2024-12-21,CUST-0531,SKU-034,Sports,North,Online,6,251.0,1864.9,1444.17,100.66
ORD-000074,2024-01-05,CUST-0140,SKU-033,Electronics,East,Partner,2,89.4,209.6,130.67,26.42
